t,h,error_ratio,accepted,newton_updates_completed_solves,failure
0.003187394894767057,2.6590903038626032e-05,0.9731491622676849,True,3,
0.003213985797805683,2.4259725879621807e-05,0.9510917396910682,True,3,
0.0032382455236853046,2.2388097718462645e-05,0.9364240235966643,True,3,
0.003260633621403767,2.0822047355322173e-05,0.9254618484012627,True,3,
0.0032814556687590893,1.9479898036572468e-05,0.9170739504960114,True,3,
0.0033009355667956617,1.8307414309100705e-05,0.91053046335054,True,3,
0.0033192429811047626,1.726721431041751e-05,0.9053571602496214,True,3,
0.00333651019541518,1.6332580911193168e-05,0.9012340901568983,True,3,
0.0033528427763263734,1.548383455679931e-05,0.8979387613314324,True,3,
0.0033683266108831727,1.4706105327675417e-05,0.8953126263164463,True,3,
0.0033830327162108482,1.3987909923030032e-05,0.8932405327065144,True,3,
0.0033970206261338784,1.3320211646377212e-05,0.891637697969985,True,3,
0.0034103408377802557,1.2695781046985122e-05,0.8904412191913256,True,3,
0.0034230366188272407,1.2108749799387856e-05,0.8896044114696052,True,3,
0.0034351453686266285,1.1554292325155046e-05,0.8890929686009791,True,3,
0.0034466996609517834,1.1028393984109482e-05,0.8888823353135676,True,3,
0.003457728054935893,1.0527679241039144e-05,0.8889559120655105,True,3,
0.003468255734176932,1.0049282208826274e-05,0.889303854209385,True,3,
0.0034783050163857583,9.590747662631144e-06,0.8899223156897399,True,3,
0.0034878957640483896,9.149954310047802e-06,0.8908130459287964,True,3,
0.0034970457183584372,8.725054543224995e-06,0.8919832895773597,True,3,
0.0035057707729016624,8.31442654467213e-06,0.8934459707883481,True,3,
0.0035140851994463346,7.91663574522457e-06,0.8952201715654688,True,3,
0.003522001835191559,7.530403416058707e-06,0.8973319430073751,True,3,
0.0035295322386076178,7.154580724723101e-06,0.8998155225697162,True,3,
0.003536686819332341,6.7881269716528515e-06,0.9027150765601916,True,3,
0.003543474946303994,6.430090992830027e-06,0.906087153266144,True,3,
0.003549905037296824,6.079594895574433e-06,0.9100041323461516,True,3,
0.0035559846321923986,5.7358194049212795e-06,0.9145591146184109,True,3,
0.00356172045159732,5.397990142930475e-06,0.9198729550544401,True,3,
0.0035671184417402505,5.065364138874147e-06,0.9261045792985999,True,3,
0.0035721838058791248,4.737215755052183e-06,0.9334664907463194,True,3,
0.003576921021634177,4.412820969249505e-06,0.9422487742799733,True,3,
0.0035813338426034266,4.091438495876166e-06,0.9528575749095336,True,3,
0.003585425281099303,3.77228538569142e-06,0.9658794140606904,True,3,
0.0035891975664849945,3.4545031700334332e-06,0.9821942633523361,True,3,
0.003592652069655028,3.137107553059111e-06,1.003187071738949,False,3,
0.003592652069655028,1.5685537765295554e-06,0.24969999407768084,True,3,
0.003594220623431557,2.82509239549476e-06,0.9111701112272361,True,3,
0.003597045715827052,2.663639416217878e-06,1.0329599893931871,False,3,
0.003597045715827052,1.331819708108939e-06,0.25728903789925384,True,3,
0.0035983775355351607,2.363073909417459e-06,0.9327948204615673,True,3,
0.0036007406094445784,2.202047849070572e-06,0.7012630205337648,True,3,
0.003602942657293649,2.3666214263873684e-06,0.6643987297354199,True,3,
0.0036053092787200363,2.613105264108359e-06,0.6769003700252119,True,3,
0.0036079223839841448,2.8584923779041878e-06,0.6875849255015744,True,3,
0.003610780876362049,3.102532750258903e-06,0.6968665603807929,True,3,
0.003613883409112308,3.344907185650073e-06,0.7050063558163413,True,3,
0.003617228316297958,3.585337675329415e-06,0.7122046675338278,True,3,
0.0036208136539732875,3.823579869388948e-06,0.7186175556326966,True,3,
0.0036246372338426766,4.059417919854158e-06,0.7243682633276082,True,3,
0.003628696651762531,4.292660743609577e-06,0.7295553389233183,True,3,
